branch,generation,max_lx_gen,row_index_0based,mlp_feasible,avl_feasible,f_aspect,f_sweep,f_taper,f_twist,a_aspect,a_sweep,a_taper,a_twist,a_x_loc,a_S_rel,v_aspect,v_S_rel,scheme_fuse,scheme_vertical,a_dihedral_mag,margin,S_ref,V,H,cy_req,mlp_mtow_out,avl_mtow_out,diff_mtow_out,mlp_m_V,avl_m_V,diff_m_V,mlp_D_V,avl_D_V,diff_D_V,mlp_m_pu,avl_m_pu,diff_m_pu,mlp_m_fue,avl_m_fue,diff_m_fue,mlp_p2w,avl_p2w,diff_p2w,mlp_N,avl_N,diff_N,mlp_m_const_f_w,avl_m_const_f_w,diff_m_const_f_w,mlp_m_const_a_w,avl_m_const_a_w,diff_m_const_a_w,mlp_m_const_v_w,avl_m_const_v_w,diff_m_const_v_w,mlp_m_F,avl_m_F,diff_m_F,mlp_m_SS,avl_m_SS,diff_m_SS,mlp_cx,avl_cx,diff_cx,mlp_cy,avl_cy,diff_cy,mlp_mz,avl_mz,diff_mz,mlp_mx_beta,avl_mx_beta,diff_mx_beta,mlp_my_beta,avl_my_beta,diff_my_beta,mlp_K,avl_K,diff_K,mlp_center_mass,avl_center_mass,diff_center_mass,mlp_alpha_bal,avl_alpha_bal,diff_alpha_bal,mlp_delta_bal,avl_delta_bal,diff_delta_bal,mlp_A,avl_A,diff_A,mlp_dmz_dcy,avl_dmz_dcy,diff_dmz_dcy,mlp_M_fue_kg,avl_M_fue_kg,diff_M_fue_kg,mlp_L_mission_km,avl_L_mission_km,diff_L_mission_km,mlp_L_cruise_km,avl_L_cruise_km,diff_L_cruise_km,mlp_L_climb_km,avl_L_climb_km,diff_L_climb_km,mlp_L_declimb_km,avl_L_declimb_km,diff_L_declimb_km,mlp_t_cruise_h,avl_t_cruise_h,diff_t_cruise_h,mlp_t_climb_h,avl_t_climb_h,diff_t_climb_h,mlp_t_declimb_h,avl_t_declimb_h,diff_t_declimb_h,mlp_q_fuel,avl_q_fuel,diff_q_fuel,mlp_q_g_per_ton_km,avl_q_g_per_ton_km,diff_q_g_per_ton_km
normal_1_1,134,134,37,True,True,14.99856366474044,7.185772713130725,1.984047865289905,-3.219808539600131,4.225378512053192,-45.0,1.463810000037581,0.4907120754555818,4.915266689447527,0.2001312450213836,2.0,0.05121381924610213,0.0,0.0,50.0,-0.2575755813425363,50.0,37.17943656752738,500.0,0.5968722273369739,1426.695577704454,1437.518819255548,10.823241551093815,0.003014068641306715,0.002999248784926194,-1.4819856380521301e-05,1.07503960036249,1.0778691429901848,0.0028295426276947477,0.04628229142227633,0.04656632254674304,0.0002840311244667118,0.09598091529504532,0.10005239472663309,0.004071479431587768,0.05319803611755899,0.053524508674417284,0.00032647255685829685,130.5597303301427,131.36096609173018,0.8012357615874635,0.1741020726677018,0.17410207266770206,2.498001805406602e-16,0.02409978806313084,0.024099788063130845,3.469446951953614e-18,0.0,0.0,0.0,0.07912418915715541,0.07852845420029006,-0.0005957349568653514,0.07684444947390452,0.07626587893460011,-0.0005785705393044072,0.01813767850399017,0.01908156015734963,0.0009438816533594609,0.5989591479301453,0.59836,-0.0005991479301452607,0.0,-0.00877,-0.00877,-0.0003057774738408625,-0.000268,3.7777473840862504e-05,-0.002098361263051629,-0.0016960000000000002,0.0004023612630516288,32.69306564331055,31.358022879986052,-1.3350427633244948,0.6750211926610058,0.6943417284906979,0.019320535829692065,6.957715658227838,7.13777550748439,0.18005984925655216,-3.827510196055132,-3.015367882085125,0.812142313970007,1.107078318263011,1.102244221586513,-0.004834096676498145,-0.9325967740035421,-0.9519173098332342,-0.019320535829692065,136.9355473954669,143.8272003311196,6.891652935652701,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,22.36465477217957,22.36465477217956,-1.0658141036401503e-14,0.04762403424049504,0.04762403424049503,-1.3877787807814457e-17,0.008301416153740502,0.008301416153740498,-3.469446951953614e-18,7.607530410859274e-05,7.990400018395534e-05,3.828696075362597e-06,76.07530410859273,79.90400018395533,3.8286960753626005
normal_1_2,295,295,3,True,True,14.99264132399875,8.86249134178017,1.504079532924772,-3.817484769422587,4.095667075880255,-28.53030617961606,1.529975720739039,-0.9494009706991943,3.134797343653294,0.2,2.985280668899985,0.0500713228665668,0.0,0.5,0.0,-0.274757749077764,49.86127807636029,37.72557880026027,500.0,0.596546126712056,1460.116633129738,1467.1193487422051,7.002715612467227,0.002972601650821444,0.0029657066149131493,-6.895035908294819e-06,1.085086278508327,1.0877613893579574,0.0026751108496303466,0.04740135598680897,0.04775743274807686,0.0003560767612678928,0.0991776971898563,0.10152685348140644,0.0023491562915501363,0.05448431722621721,0.054893600859858456,0.000409283633641247,137.2168392651335,138.24760572106663,1.0307664559331329,0.1718252269405105,0.1718252269405105,0.0,0.02572492664266457,0.02572492664266457,0.0,0.007576945784786959,0.007576945784786959,0.0,0.07787886133256254,0.07750713730165651,-0.00037172403090603157,0.07651630748188622,0.07615108706442593,-0.000365220417460288,0.01864968426525593,0.01924303589678405,0.0005933516315281169,0.599683940410614,0.59512,-0.004563940410614031,0.0,-0.00182,-0.00182,-0.0003536583099048585,-0.000358,-4.34169009514145e-06,-0.0005022371187806129,-0.00022400000000000002,0.0002782371187806129,31.66216278076172,30.926513009283433,-0.7356497714782861,0.8104838606395166,0.7783419944404804,-0.03214186619903625,7.574709711547975,7.645156133755266,0.07044642220729092,-4.91420941545532,-4.926115207853373,-0.011905792398052562,0.6409341633362298,0.6489696298859888,0.008035466549759063,-1.085241609717281,-1.0530997435182443,0.032141866199036695,144.8110053024137,148.9520111594863,4.141005857072599,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,22.04088816925354,22.040888169253535,-7.105427357601002e-15,0.04693459494707664,0.04693459494707663,-1.3877787807814457e-17,0.0081812389663459,0.008181238966345898,-1.734723475976807e-18,8.045055850134094e-05,8.275111731082572e-05,2.3005588094847845e-06,80.45055850134094,82.75111731082572,2.3005588094847838
normal_1_3,121,121,10,True,False,14.99634537664621,11.29569175964039,1.932901081149859,-1.723480171004649,4.00494467049812,-37.01956553013833,2.732218426338161,4.769515449352351,5.366325966641015,0.2000102092726054,2.511745012036273,0.1866282298564851,0.0,1.0,44.77634072750257,-0.2926270574226243,49.98797711276771,35.8884229918652,500.0,0.61149176964567,1426.891224484812,1435.025738183845,8.13451369903305,0.002990540706467987,0.0029757821096246,-1.4758596843386911e-05,1.066794072630945,1.0675809796345803,0.0007869070036352621,0.04515541825782068,0.04533440028489857,0.00017898202707788968,0.09697267176960438,0.1000536711579488,0.003080999388344427,0.05190277960669044,0.05210850607459606,0.00020572646790562032,121.566011892143,122.04786173589815,0.4818498437551568,0.1776259627880278,0.17762596278802778,-2.7755575615628914e-17,0.02475919550532601,0.024759195505326015,3.469446951953614e-18,0.0,0.0,0.0,0.07772764436703977,0.07728704140705561,-0.0004406029599841599,0.0742740049290631,0.07385297909342746,-0.00042102583563563556,0.0180292334407568,0.019368233192769667,0.0013389997520128656,0.5998014807701111,0.60711,0.0073085192298889545,5.551115123125783e-17,0.00092,0.0009199999999999445,-0.0004744273028336465,-0.00039,8.442730283364649e-05,-0.001639281632378697,-0.00131,0.000329281632378697,32.3411750793457,31.345657291375424,-0.9955177879702788,0.9421389107109364,0.9441343298297386,0.0019954191188021886,6.628593154831298,6.855438753168453,0.2268455983371549,-4.417846138611073,-4.384370448303836,0.033475690307236405,1.158947659123553,1.158448772512543,-0.000498886611010052,-1.234765968133561,-1.2367613872523628,-0.0019954191188018555,138.3694543628945,143.57959331143917,5.210138948544682,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,23.16917808412409,23.169178084124095,3.552713678800501e-15,0.04933721274227027,0.04933721274227027,0.0,0.008600042843303582,0.008600042843303582,0.0,7.687191909049696e-05,7.976644072857731e-05,2.8945216380803495e-06,76.87191909049696,79.76644072857731,2.8945216380803487
normal_2_1,111,111,45,True,True,15.0,0.0,3.0,1.000259430323146,6.246223216469723,-22.14201897249687,1.918759980868044,1.945593835813289,2.275032751258574,0.2,2.98209545440315,0.2533515648611796,0.5,0.0,49.78518922082832,-0.1010291467749929,26.79272872272174,41.0682648669033,500.0,0.5880868398892547,1216.414894002592,1221.1103702595688,4.69547625697669,0.003174948029088672,0.003161918212347412,-1.3029816741260032e-05,0.9655135175669092,0.9652627797525054,-0.0002507378144037675,0.05132079286323465,0.05136824002411561,4.7447160880960404e-05,0.0996962929552137,0.10200142307847429,0.0023051301232605848,0.05898941708417776,0.059043954050707594,5.4536966529836195e-05,93.26138141574074,93.34760353977933,0.08622212403858498,0.1330946449505926,0.13309464495059264,5.551115123125783e-17,0.02428820779355334,0.02428820779355334,0.0,0.0,0.0,0.0,0.04876751632160917,0.04857999296534519,-0.0001875233562639786,0.0664048401875299,0.06614949688847777,-0.0002553432990521354,0.01911918446421623,0.019052487384466466,-6.669707974976333e-05,0.5989661812782288,0.58479,-0.014176181278228728,0.0,0.00018,0.00018,-0.0007755503756925464,-0.00074,3.555037569254638e-05,-0.001279871677979827,-0.000952,0.0003278716779798269,31.40616035461426,30.693630086157704,-0.7125302684565575,0.3009585185055145,0.2777927604690099,-0.023165758036504613,5.673928189376164,5.800461411577541,0.12653322220137753,-3.315750142763735,-3.1940688012593164,0.12168134150441867,0.5306239742324018,0.5364154137415279,0.005791439509126084,-0.4019876652805074,-0.37882190724400283,0.023165758036504558,121.2720556275677,124.55499550235866,3.2829398747909693,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,20.24690515052669,20.246905150526686,-3.552713678800501e-15,0.04311442827868734,0.04311442827868734,0.0,0.007515340039539265,0.007515340039539265,0.0,6.73733642375376e-05,6.919721972353259e-05,1.8238554859949908e-06,67.3733642375376,69.19721972353258,1.823855485994983
normal_2_2,114,115,23,True,False,14.99840040679758,1.255559453969765,2.420229415345898,1.220022717380676,7.634235979710714,-13.46243087257895,2.233629274561382,0.6554534992800434,4.119809477362135,0.2001759560713379,2.0,0.05024887885957141,0.5,0.5,0.0,-0.2971625311058984,17.26677501219917,44.42607555410134,500.0,0.5943717534269547,1192.919476391151,1198.7806525678575,5.861176176706522,0.003036612334353375,0.00302346986946943,-1.3142464883944983e-05,0.9056084989749346,0.9061192957854546,0.00051079681052002,0.05601648900933442,0.056578107418629876,0.0005616184092954585,0.1062722552463586,0.10871449555654346,0.002442240310184862,0.06438676897624646,0.0650323073777355,0.0006455384014890375,77.58871539071674,78.36661582124445,0.7779004305277084,0.1091560742859359,0.10915607428593588,-2.7755575615628914e-17,0.02654484710888294,0.02654484710888294,0.0,0.007285440475574001,0.007285440475574001,0.0,0.05172101464522669,0.051468136040434126,-0.0002528786047925613,0.05699953782754516,0.05672085103652759,-0.0002786867910175711,0.02064596489071846,0.020658949466761632,1.2984576043172102e-05,0.5989817976951599,0.5943,-0.004681797695159862,0.0,-0.00094,-0.00094,-4.187249578535557e-05,5.4e-05,9.587249578535557e-05,-0.0004615979269146919,-0.00012200000000000001,0.0003395979269146919,29.43436241149902,28.767193654071065,-0.6671687574279552,0.6323002554449096,0.550495919396813,-0.08180433604809667,5.358685239932931,5.3190992004796005,-0.03958603945333028,-1.840261975522742,-1.8645287346850565,-0.024266759162314466,0.9163383879120506,0.9368119674493385,0.0204735795372879,-0.929462786550808,-0.8476584505027114,0.08180433604809667,126.7742430833929,130.32483392685862,3.550590843465713,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,18.71660400082617,18.716604000826166,-3.552713678800501e-15,0.03985575448765416,0.03985575448765416,0.0,0.006947315770279618,0.006947315770279618,0.0,7.043013504632937e-05,7.240268551492146e-05,1.9725504685920827e-06,70.43013504632937,72.40268551492146,1.9725504685920896
normal_2_3,266,266,20,True,False,14.99734723612888,15.92735818582748,1.913975294610693,-3.212844278284969,4.019007849810785,-11.18670272790282,2.069555617169217,2.177919553412293,5.682010054121439,0.2000681343871816,2.267480085627042,0.08478737902433645,0.5,1.0,50.0,-0.3,50.0,36.84845511728263,500.0,0.6045695577443998,1319.225120453152,1315.468063347442,-3.7570571057099187,0.003250064104721197,0.0032569932920504304,6.929187329233425e-06,1.071891552507822,1.0711176645572973,-0.0007738879505247986,0.04558489943017122,0.045254763362474866,-0.00033013606769635717,0.09282886103505934,0.09149496746887793,-0.00133389356618141,0.05239643612663359,0.05201696938215502,-0.000379466744478571,127.9420242098467,127.01543936938981,-0.926584840456897,0.1744796096567802,0.17447960965678022,2.7755575615628914e-17,0.02365172622468048,0.02365172622468048,0.0,0.0,0.0,0.0,0.04259414644912654,0.04271579793199959,0.0001216514828730475,0.08279825002386149,0.08303472688123262,0.00023647685737113178,0.0165637694299221,0.017660928557715425,0.0010971591277933249,0.5987715721130371,0.60638,0.007608427886962921,2.775557561562891e-17,-0.00307,-0.0030700000000000276,-5.86113310419023e-06,8.000000000000001e-06,1.3861133104190232e-05,-0.002367195440456271,-0.001738,0.0006291954404562712,33.82467651367188,34.334548040232825,0.5098715265609428,1.205434750233148,1.211287108930938,0.005852358697790105,7.136401271671431,7.355767153862848,0.21936588219141662,-4.345183920481911,-3.640671507339143,0.7045124131427678,1.168409837701903,1.166946124932398,-0.0014637127695049656,-1.505434750233148,-1.511287108930938,-0.005852358697790105,122.4621653805051,120.35870766232206,-2.103457718183037,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,22.56553933700484,22.56553933700484,0.0,0.04805180446503375,0.048051804465033744,-6.938893903907228e-18,0.008375981417030508,0.008375981417030507,-1.734723475976807e-18,6.803453632250281e-05,6.686594870129003e-05,-1.1685876212127832e-06,68.03453632250282,66.86594870129002,-1.1685876212127937
normal_3_1,118,118,7,True,True,15.0,0.9667032714190057,2.191919738366436,-1.614420541627104,4.074051842880238,-40.91973087872638,1.703327990772691,0.8433726501938467,4.920328393116494,0.2002455987344052,2.226007687504476,0.07564590292458241,1.0,0.0,49.34854069050112,-0.2832425704660064,25.59874136112426,39.12772828452199,500.0,0.5892523676007514,1200.831274451911,1207.40885893683,6.5775844849190435,0.003104409654301368,0.003094769524826839,-9.640129474529184e-06,0.9319680503988822,0.9341630351609124,0.002194984762030172,0.04902393470366575,0.049377371069239166,0.0003534363655734174,0.1000372038586173,0.10301271059302271,0.0029755067344054142,0.05634935023409856,0.05675559893015996,0.0004062486960614009,77.41671710261687,77.97485025314361,0.5581331505267428,0.1370613485998342,0.1370613485998342,0.0,0.02146799714178693,0.021467997141786932,3.469446951953614e-18,0.0,0.0,0.0,0.04821914625993332,0.04795646348601808,-0.0002626827739152446,0.06143208436638736,0.06109742165291317,-0.00033466271347419585,0.01888595335185528,0.0194324463326659,0.0005464929808106193,0.5991982221603394,0.59116,-0.008038222160339337,0.0,-0.00821,-0.00821,-6.102042971178889e-05,-1.7999999999999997e-05,4.3020429711788896e-05,-0.001879723276942968,-0.0017100000000000001,0.0001697232769429678,31.33129119873047,30.421285610667624,-0.9100055880628446,0.3956941923607152,0.3507004215929753,-0.04499377076773986,6.476730719291455,6.555658796546875,0.07892807725542017,-3.416180114659414,-3.019466269009589,0.39671384564982537,1.180295955344893,1.1915616696097306,0.011265714264837579,-0.6789367628267216,-0.6339429920589817,0.044993770767739805,120.127803002149,124.37845935311145,4.250656350962458,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,21.25104880637353,21.25104880637352,-7.105427357601002e-15,0.04525268493122967,0.04525268493122966,-1.3877787807814457e-17,0.007888062733014161,0.007888062733014161,0.0,6.673766833452724e-05,6.909914408506191e-05,2.3614757505346706e-06,66.73766833452724,69.09914408506191,2.361475750534666
normal_3_2,199,199,26,True,True,15.0,3.596627679623564,2.149651671650286,-0.2653846419153018,7.322112493069643,-19.1653789745847,1.796842203631935,0.7888510794250096,4.060737931053469,0.2000213646045492,2.023407049483029,0.05014661727032087,1.0,0.5,0.0,-0.2997057029141184,16.62908841600253,45.461389133079,500.0,0.5919063919847395,1187.415426560738,1195.3711143743706,7.955687813632494,0.0030549473368835,0.0030374199385457675,-1.752739833773241e-05,0.9068728987865278,0.9077110141905965,0.0008381154040687511,0.05740593419376631,0.058055330091910336,0.0006493958981440284,0.1057992087036804,0.10926225236704255,0.003463043663362156,0.06598383240662795,0.06673026447346016,0.0007464320668322116,79.85480326320409,80.75814857783978,0.9033453146356862,0.1061022240636603,0.10610222406366032,2.7755575615628914e-17,0.02519546440700371,0.02519546440700371,0.0,0.00716673155494274,0.00716673155494274,0.0,0.05256272280896229,0.05221289620844125,-0.00034982660052104014,0.05741362176346881,0.057031510429584695,-0.0003821113338841123,0.02062728255987167,0.020656743876873468,2.94613170017978e-05,0.5997651219367981,0.59152,-0.00824512193679805,0.0,-0.0012,-0.0012,-0.0001232638460351154,-7e-05,5.32638460351154e-05,-0.0004182467237114906,-8.999999999999999e-05,0.0003282467237114906,29.58199501037598,28.635684477951248,-0.9463105324247323,0.7049016126707879,0.648969633051472,-0.05593197961931584,5.793516903779165,5.759226084090589,-0.03429081968857606,-2.267122718819317,-2.489659547473712,-0.22253682865439517,0.8830645490248759,0.8970494111117977,0.013984862086921845,-1.004607315584906,-0.9486753359655905,0.05593197961931551,125.6276125326691,130.60894037104538,4.981327838376274,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,18.29036198218306,18.290361982183065,3.552713678800501e-15,0.03894810066078409,0.03894810066078409,0.0,0.006789101283402388,0.006789101283402388,0.0,6.979311807370507e-05,7.256052242835855e-05,2.767404354653475e-06,69.79311807370507,72.56052242835854,2.767404354653465
normal_3_3,101,101,24,True,True,14.99575092704838,2.528394997609551,3.0,1.219760104678759,4.135157914251511,-28.8192940203492,1.722445750144598,0.6565827917331102,4.971549423325446,0.2000672571712765,2.026604541526629,0.05,1.0,1.0,43.77053447639371,-0.3,21.74812574580851,40.30676338614819,500.0,0.58765416218203,1182.88041629255,1187.050185953061,4.169769660510838,0.003077852021120112,0.0030659732670513967,-1.1878754068715344e-05,0.9101827200073562,0.9098660341951185,-0.00031668581223776027,0.05076424294795365,0.05093426926619337,0.00017002631823972297,0.1021600370683686,0.10416319306899277,0.0020031560006241733,0.05834970453787777,0.05854513708757859,0.00019543254970081497,72.07668401918724,72.31809278455137,0.24140876536412748,0.1276094257700323,0.12760942577003231,2.7755575615628914e-17,0.02110846095326624,0.02110846095326624,0.0,0.0,0.0,0.0,0.04968294271964667,0.04950842067361291,-0.00017452204603375654,0.05836064189335533,0.058155637558395826,-0.00020500433495950626,0.01976138353347778,0.01946162872179242,-0.0002997548116853606,0.5978686809539795,0.58478,-0.013088680953979526,0.0,0.00552,0.00552,-3.316928632557392e-05,0.0,3.316928632557392e-05,-0.001419269014149904,-0.001332,8.726901414990397e-05,30.64406585693359,30.04784483146494,-0.5962210254686511,0.4991422187498659,0.4231178795990837,-0.07602433915078222,5.718556563939046,5.680030457164971,-0.038526106774074975,-2.733519026888636,-2.967812208353286,-0.23429318146465006,1.166377547897846,1.1853916227041483,0.01901407480630235,-0.7991422187498659,-0.7231178795990837,0.07602433915078222,120.8431071758942,123.64693770201245,2.8038305261182472,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,20.62942279663798,20.62942279663798,0.0,0.04392897398312891,0.043928973983128915,6.938893903907228e-18,0.007657324711284306,0.007657324711284306,0.0,6.713505954216346e-05,6.869274316778469e-05,1.5576836256212255e-06,67.13505954216346,68.69274316778468,1.5576836256212232
duck_1_x,139,139,4,True,False,4.0,41.71206879876317,1.315470376109628,-3.075341900271375,14.99294438266318,1.546446048406692,3.0,2.523932553243849,2.0,0.7998028137975288,4.0,0.05073296986564219,0.0,0.5,0.44506234907739,0.2986838199404087,36.74156362083686,39.73381038332993,500.0,0.5988204425614243,1407.602601079269,1397.7300790927109,-9.87252198655824,0.002963561263050858,0.0029572005964139106,-6.360666636947426e-06,1.042879135582038,1.0333420558796567,-0.009537079702381268,0.05087801319072003,0.0499252594961895,-0.0009527536945305309,0.1077046232287585,0.1045809713855544,-0.003123651843204095,0.05848047493186211,0.05738535574274655,-0.001095119189115562,120.8487668226331,118.58572426556394,-2.2630425570691557,0.02285455538306991,0.022854555383069908,-3.469446951953614e-18,0.1493173904105926,0.14931739041059244,-1.6653345369377348e-16,0.008252743241165095,0.008252743241165095,0.0,0.0829066242950687,0.08349221480601748,0.0005855905109487802,0.06886581715423554,0.06935223388386533,0.00048641672962979055,0.02053035050630569,0.020023335211718372,-0.0005070152945873194,0.5993908047676086,0.59887,-0.0005208047676086291,1.387778780781446e-17,-0.0028,-0.002800000000000014,-3.088032826781273e-06,-5.999999999999994e-06,-2.9119671732187213e-06,-5.608890205621719e-07,0.000158,0.00015856088902056216,29.03319931030273,29.90860381988311,0.8754045095803775,2.467021619689892,2.22532725543965,-0.24169436425024227,5.048752907616728,5.161152410168863,0.11239950255213493,-3.492300993177743,-2.6965751004980634,0.7957258926796795,0.561218150367754,0.5007200740804872,-0.06049807628726678,-2.168337799749484,-1.926643435499241,0.24169436425024315,151.6053078050631,146.17596940632347,-5.429338398739617,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,20.92689463796685,20.926894637966846,-3.552713678800501e-15,0.0445624203430813,0.044562420343081305,6.938893903907228e-18,0.007767741687269208,0.0077677416872692084,8.673617379884035e-19,8.422517100281282e-05,8.120887189240193e-05,-3.0162991104108912e-06,84.22517100281283,81.20887189240193,-3.0162991104108983
duck_2_x,118,118,14,True,False,4.04340184341754,0.6212716485038401,2.984647065077392,-4.850764926537364,14.9939154232895,1.802389166884335,2.106214490360867,1.472574372916363,2.0,0.7999129433655918,3.997356619144481,0.05060936373836909,0.5,0.5,0.01034380925755614,0.2983206864659828,17.55035171013618,43.77666841835624,500.0,0.6063890076791699,1192.950701017414,1182.4453942722166,-10.505306745197458,0.003068911348813468,0.0030607194843850732,-8.19186442839459e-06,0.9152649862318313,0.9047834143675909,-0.010481571864240369,0.05655602274572868,0.05506293782363848,-0.0014930849220901946,0.1109226120160598,0.10699080202256056,-0.003931809993499236,0.06500692269623987,0.06329073313061895,-0.001716189565620918,78.87489690907528,76.79259137221266,-2.08230553686262,0.01939366355160776,0.019393663551607765,3.469446951953614e-18,0.110083291658404,0.11008329165840403,2.7755575615628914e-17,0.008443765667384695,0.008443765667384695,0.0,0.05134025798451183,0.051796384889921145,0.00045612690540931117,0.05723691077912071,0.057745425851186485,0.000508515072065778,0.02130346372723579,0.02073169424577785,-0.0005717694814579392,0.5994812250137329,0.60617,0.0066887749862670765,0.0,-0.00283,-0.00283,-3.414344973862171e-06,3.2e-05,3.541434497386217e-05,-5.633779801428318e-05,0.00022400000000000002,0.0002803377980142832,28.19520378112793,29.238806670296643,1.0436028891687137,2.600956342500904,2.2628634807453105,-0.3380928617555936,5.446953081156877,5.510037089248911,0.06308400809203363,-4.492710370679455,-3.0957140247546815,1.3969963459247734,0.5880308936428322,0.5034616837821253,-0.08456920986070693,-2.302635656034921,-1.9645427942793277,0.3380928617555934,132.3252077632413,126.5107810810673,-5.814426682174016,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,18.99425638128815,18.994256381288153,3.552713678800501e-15,0.04044699663329752,0.040446996633297524,6.938893903907228e-18,0.007050376066974152,0.007050376066974152,0.0,7.35140043129118e-05,7.02837672672596e-05,-3.230237045652199e-06,73.51400431291181,70.2837672672596,-3.2302370456522027
duck_3_x,117,117,20,True,False,4.0,0.0,3.0,-4.949011007961749,15.0,2.541269237862426,2.852601834132718,2.617969049593541,2.0,0.8,3.998962739906609,0.05092875548226344,1.0,0.5,0.0,0.3,16.48359131403077,43.43568430455163,500.0,0.6068878488341484,1186.400286564422,1176.3459197750128,-10.054366789409187,0.00302866112569757,0.0030190669249710246,-9.59420072654555e-06,0.8983011068585304,0.8878667646793399,-0.010434342179190481,0.05611202801002581,0.05474113973994497,-0.0013708882700808403,0.1114558582842354,0.10760484956278688,-0.003851008721448529,0.0644965839195699,0.06292085027579881,-0.0015757336437710878,72.4180753207859,70.64880955870441,-1.7692657620814884,0.01956836204911105,0.019568362049111054,3.469446951953614e-18,0.1089963742344411,0.10899637423444108,-1.3877787807814457e-17,0.0087620487900395,0.0087620487900395,0.0,0.05142227433708352,0.05186178655762962,0.0004395122205461052,0.05492289024004703,0.05539232263601568,0.00046943239596864555,0.02163123153150082,0.02087867748049786,-0.0007525540510029613,0.5988361835479736,0.60681,0.007973816452026328,-1.387778780781446e-17,-0.00284,-0.002839999999999986,-2.832675818353891e-05,4.6e-05,7.432675818353891e-05,-5.577737465500832e-05,0.000254,0.0003097773746550083,28.05329132080078,29.063622471624594,1.0103311508238129,2.692582815672028,2.2918103268920706,-0.4007724887799573,5.250228612414472,5.28049053566523,0.03026192325075794,-3.800980166680304,-2.75945989445139,1.0415202722289139,0.61227892721421,0.5120858050192209,-0.1001931221949891,-2.392582815672028,-1.9918103268920708,0.4007724887799573,132.2312622077006,126.58052573118842,-5.6507364765121935,3000.0,3000.0,0.0,2993.418948444835,2993.4189484448348,-4.547473508864641e-13,5.715026151380671,5.7150261513806715,8.881784197001252e-16,0.8660254037844387,0.8660254037844387,0.0,19.1433674125347,19.1433674125347,0.0,0.04076451858613155,0.040764518586131546,-6.938893903907228e-18,0.007105723790250023,0.007105723790250023,0.0,7.346181233761142e-05,7.032251429510468e-05,-3.1392980425067426e-06,73.46181233761142,70.32251429510468,-3.139298042506738
